2017. 3. 14. 18:06,원조 등촌 칼국수 버섯매운탕 : 등촌동 맛집 등촌 최월선칼국수,"06	엇그제 밤 늦게 티비를 보다가 맛있는 녀석들 보는데 버섯칼국수를 먹었나 보더라...앞부분은 보지 못했고 볶음밥 먹는 부분 이었는데 저녁을 부실하게 먹어서였나 아주 침이 꼴깍 넘어 가는게 눈앞에 아리삼삼....뭐 맛있는 녀석들 나온집은 아닐거 같긴 한데 내가 아는 한 등촌 버섯매운탕의 원조라고 생각 하는 그곳이 떠올랐다. 위치도 등촌동 맞고 이집 엄청 오래된 집이다.듣기로는 1980년대 부터 시작해서 30년 훌쩍 넘었다고 들었는데요즘 유명하게 사용하는 그 등촌 버섯매운탕 칼국수와 상표권 등록 문제로 지금은 등촌 최월선칼국수 라는 이름을 쓴다고는 하는데 간판은 여전히 그냥 옛날 그 간판 그대로 였음나는 등촌칼국수라고 하는 체인이 이집에서 시작 한건가 했더니 아마도 그건 아닌가 보다.뭐 진실은 나도 모름. 그냥 나는 이 집이 원조라 하는 이야길 들었고 오래전 부터 아주아주 가끔 가던 집이라 이 집이 딱 떠올랐고울집에서 차 가지고 가면 20분 남짓이면 가니까  시간 났을때  출동!!!!위치는 좀 엄한데 있는데 오랫만에 가보니 주변이 나름 변했더라... 전엔 더 복잡했던 기억이 나는데 주차는 주차장자리 2개 있고 나머지는 가게 앞에 대충 세워야 하는데 나름 봐주시는 할아버님이 계셔서이쪽으로 세워라 하고 알려주셨다. 우린 점심 시간 좀 넘긴 시간이라 수월하게 주차...요즘은 어떤지 모르겠는데 전에 점심 시간에 갔더니 완전 시장도 이런 시장이 없게 복잡하고 시끄러웠던 기억이 난다. 앞에 차도 엄청나게 복잡 하게 난리 났었고...나름 아는 사람들은 아는 이 지역 맛집이니 복잡한 시간은 살짝 피해주는 센스어디가 입구냐 두리번 두리번...간만에 갔더니 정신 없음.여기가 입구임... 누르면 문 열림.얼마만에 보는 시스템인지...ㅋㅋㅋ 정말 오래되어 보인다.사실 이집은 정말 몽땅 다 낡아 보인다.막 신식시설에 깔끔한거 좋아 하는 사람이라면 비추천 이다.그냥 적당히 허름한 느낌 즐기는 사람이라면 강추.테이블도 낡았고 방석은 도대체 왜 존재 하는걸까? 싶게 납작하게 숨이 죽어 버린 납작 방석..ㅋㅋ까나 안까나 똑같음.3층 까지 있었는지 기억 안나지만 멀리 보이는 메뉴판 뒤로 2층 가는 계단이 있다.1층에 앉았는데 2층에도 그 어중간한 시간에 손님들이 많은지 시끌 시끌 했고 사람들이 자꾸 나와 계산 하고 가더라....가격은 저러하다.버섯매운탕 1인분 7000원 이런곳은 1인1메뉴...메뉴는 단 이것 한가지 뿐이다.버섯추가는 6000원이나 한다. 미나리 추가는 1000원이다.이건 필수로 더 시켜 먹는다.버섯매운탕 1인분에는 칼국수와 볶음밥도 포함이니까 따로 공기밥에 먹거나 국수가 더 땡기는 사람 아니라면 따로 시키지 않아도 된다.그리고 자리 잡고 앉으면 그냥 바로 냄비에 2명이니 2인분이 나온다.묻지도 따지지도 않는 그냥 1인 1메뉴 1인분씩...ㅋㅋ반찬은 단 한가지. 겉절이!이쁜 담음새 이런거 기대 하지 말고...그러나 맛은 짜지도 않으면서 달달 하면서 명동교자 칼국수 김치처럼 마늘맛이 대박..........근데 이게 완전 뭐낙 매력 있음... 먹고 나서 냄새 나는건 나도 모름.뚱뚱한 우동면 같은 국수도 한번 삶겨서 미나리와 함께 면 용으로 따로 한 대접 나온다.크하하...크리넥스도 아니고 당당하게 테이블마다 올려진 롤휴지...ㅋㅋㅋ외국인들이 제일 식겁 하는것 중 하나 라는데 ^^뭐 이정도는 애교로 봐주는 센스뚜껑 열어보니 펄펄 끓고 있다. 버섯과 미나리가 듬뿍 들어 있다.얼큰한 국물이 처음에는 조금 삼삼한가 싶어도 계속 끓이면서 먹으니까 먹을수록 진해진다.양파도 좀 들어 있고 국거리 소고기가 얇게 채썰어서 조금 들어 있다.체인점 처럼 샤브샤브용 소고기는 팔지 않는다.미나리 추가! 천원인데 나름 푸짐 ^^열심히 버섯과 미나리 건져 먹고 나면 국수와 미나리 투하....참 우리 밥 먹을때 식사 하시던데 그래서 그런건지기억이 잘 안나는데 여긴 그냥 갖다 주면 알아서 해먹는 시스템....우리도 알아서 투하 하고 끓여 먹었다.국수 막 열심히 먹고 있는데 대접 하나 더 툭 던져 주고 가신다 ^^;;;;;볶음밥... 남은 국물은 적당히 퍼내고 볶음밥 재료 투하....참... 이거 먹을땐 감자를 남겨서 볶음밥에 으깨서 같이 볶으면 대박 고소하고 맛있다.우린 그래서 일부러 감자 안건져 먹고 아낀다.ㅋㅋㅋ허니가 열심히 볶아 주심...원래 고기 굽고뭐 자르고 볶음밥 볶고 이런거는 허니 담당이다.나보다 훨씬 잘 하니까..^^아주 코스대로 다 먹고 나면 배가 툭 터지게 배부르다.다 찌그러진 pet병에 담겨 덩그러니 올라가 있는 결명자차 한모금으로 마늘 냄새를 좀 지워 보려 애쓰면서 퇴장...두사람이 배불리 먹는데 단돈 15000원.가성비 좋다.뭐 부족하다면 면사리 더 시켜도 좋고 ^^ (근데 보기보다 면이 많음)일하시는 분들이 죄다 연세 지긋하신 분들이시다.맛도 막 뭐 미친듯이 특별하다 생각하지 않는다.그래도 이정도 가성비에 배부르고 맛있고 나름 추억도 있고 ^^깔끔한 체인점도 좋지만 원조맛집의 노포스러움도 마음에 든다.담에 또 먹으러 가야지 ^^아내 ""러브체인""과 남편 ""허니체인""이 함께 엮어가는 맛있고 즐거운 살아가는 이야기"
2017. 3. 13. 7:00,[강서.등촌]등촌최월선칼국수,"2017. 3. 13. 7:00등촌최월선칼국수서울시 강서구 등촌동 654-95 / 2661-277411:30~21:30 (년중무휴) / 매장 앞 몇 대 가능 등촌칼국수의 원조라고 불리우는 곳으로 25년 정도 자리를 지켜온 곳입니다.(16. 06. 기준)버섯매운탕 (7,000 X 2인)​보리차로 호감도 상승하고 먹는 내내 도움을 주는 겉절이. 미나리와 버섯이 주가 되는 메뉴입니다. 버섯과 미나라의 상태가 매우 좋습니다.특히 방문할 때 마다 느끼지만 버섯을 아주 좋을 것 쓰시는 것 같습니다.사골육수에 물을 희석한다고 하는데 사골느낌은 강하지 않고 다대기와 마늘 등이 합쳐서 시원하면서 칼칼한 맛이 납니다.사골육수만 사용했으면 향긋한 버섯향이 오히려 줄어 들 수 있을 것 같습니다.뭐 고기는 애교수준으로 들어가 있습니다.어느정도 먹다보면 칼국수와 미나리가 나옵니다. 우동 스타일의 칼국수는 큰 기대 하지 않으셔도 될 정도입니다.마무리로 죽이 나옵니다. 조금 국물을 남기고 직원분들이 잘 비벼주십니다.꼬소함이 느껴지는 죽과 볶음밥의 중간단계입니다.탄수화물의 마무리는 언제나 반갑습니다.버섯매운탕을 주문하면 칼국수와 죽을 함께 즐기는 시스템입니다.가장 큰 특징은 신선하고 품질 좋은 버섯같습니다.뭐니 뭐니해도 기본재료가 가장 중요하겠죠.서울 강서구 등촌1동전화함께 여행하기"
2017. 3. 13. 13:23,[강서구 레알 맛집] 최월선칼국수 / 등촌칼국수,"23	고양이똥간날에 저녁에 먹은 등촌칼국수로 불리는 최월선칼국수!나는 여기 처음가봤는데 알고보니 나만 빼고 다들 아는곳이였듬 ..ㅋㅋ강서구맛집 등촌 최월선칼국수 갔는데 줄이 가득가득 ㅠㅠ 그나마 이거는 나올때 찍음 ㅋㅋ최월선칼국수는 기본 버섯매운탕 7,000원인데 사리부터 볶은밥까지 포함된 가격이 7,000원!!!! 기다리고 기다림 ㅋㅋ 나는 울동네에 이렇게 줄서서 먹는곳 있는지 처음알고 완전 맛집 분위기가 물씬남 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ대박임 ㅋㅋ 수요미식회에 나왔던 막국수집도 줄은 서지 않았었는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그리고 시크하신 여사님들 ㅋㅋ 퐈이아 불이 붙음!! 완전 쌤 ㅋㅋㅋㅋㅋㅋㅋ앉자마자 버섯 샤브샤브랑 세팅해주심쉐킷쉐킷움짤을 쪄옴 ㅋ버섯이랑 미나리랑 감자가 들어있듬!보글보글 은근 고기도 있듬 버섯은 건져서 먹어야되고 국물은 많이 먹지 말라고하심 ㅋㅋ국물이 맛있듬!이제 사리 추가!칼국수가 아니고 약간 우동스타일? 면이 익기를 기다리는데 오래 끓였는데도 익은건지 면이 쫄깃한건지 긴가민가하면서 먹음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이것은 볶은밥!!아주머님께서 푸는거 봤는데  약간 갈색의(다시다빛갈) 가루를 넣으시던설마 다시다..? 멸치가루나 그런거같기도하고 비법 가루인듯 볶은밥도 맛있듬 ㅠㅠ 아까 올땐 여기 다 줄 서있었는데 금방 사람이 빠짐 ㅎ.ㅎ 맛있게 냠냠 먹음 다 미리미리 세팅중이심 ㅎㅎ계산중이고요이번 집은 친구가 쏨 ㅠㅠ다음에 가면 내가 살테닷나오고 길가는데 인형뽑기가 있듬 !! 세상에 이상해꽃 .. 하지만 인형은 뽑히지 않았다고 한다 .. ☆인형뽑기 이제 금지해야겠댜 ㅠㅠ 강서구맛집 등촌 최월선칼국수는 여기에 있뜸!안녕하세요?"
2017. 3. 7. 18:30,등촌 최월선칼국수 얼큰한 버섯매운탕 최고에요,"0안녕하세요 잇님들 :)호야쌤 입니다.오늘도 역시 즐거운 하루 잘 보내고 계신가요?어제에 이어 추위가 계속 이어지는데요이번주 중반까지는 꽃샘추위가 예정이라하니우리 잇님들 감기 안걸리게 조심하셔야합니당!!이런 추운날에는 뜨끈하고 얼큰한 요리가 좋죠?제가 그래서 일요일 저녁에 맛나게 즐기고온버섯매운탕을 소개하려고 합니당!!일요일 망원시장 구경을 끝낸뒤에 저녁메뉴를 고민중얼마전 맛있는녀석들에 나왔던 버섯매운탕이등촌동이였던게 생각이 나더라구요!!집에서 올라면 멀지만 망원동에선 가깝기에고민없이 일단 바로 출발을 했습니다!! 등촌 최월선 칼국수에 도착을했어용!!건물전체가 가게에서 다 쓰는거 같더라구요저녁시간이라 사람들은 벌써 바글바글 가득가득3층에 자리가있다하여 3층으로 올라갔습니다3층역시 사람들은 바글바글 했구요메뉴는 버섯매운탕 단일메뉴로 따로 주문없이 인원수에 맞게 알아서 주시는..ㅋㅋ저는 미나리를 넘나 좋아하기에중간에 미나리는 한번 추가했었어요!!주문하고 얼마되지않아 벌써 등장한 메뉴바글바글 끓기전까진 뚜껑을 열면안되요!어느정도 끓기시작하면 직원분들이 오셔서뚜껑을 다 열어주신답니당!!ㅎㅎ생각보다 금방 끓으니 조금만 참으면되요!!반찬은 매콤아삭한 배추김치하나뿐!!그리고 중간에 넣어서 끓여먹을 국수사리도 나와용반찬은 김치하나지만 다른게 필요없을정도로메인메뉴가 정말 훌륭해서 좋더라구요!!이제 바글바글 끓기 시작했으니 드디어 뚜껑오픈!바글바글 맛나게 끓고있는 버섯매운탕!진짜 얼큰하니 뜨끈하고 넘 좋더라구요매운맛은 조절이가능하기에 주문시 미리말씀하시면덜 맵게도 가능하답니당!!ㅎㅎㅎ일단 더 질겨지기전 버섯과 미나리를 먼저먹어요!오래 끓이면 질겨서 맛이 없다하더라구요어느정도 건저먹고나면 이제 국수를 투입!우동면발처럼 굵은면이기때문에넣은후 생각보다 오래 푹 끓여야해요!글구 오래끓여야 더 맛나다고 하더라구요국물을 떠먹으며 면이 익기를 기다렸어용!음식을 기다리는 시간이 제일 어려운..오동통하게 맛나게 잘 익은 면발얼큰한 국물과 함께먹으니 정말 꿀맛이더라구요!몸도 사르르녹는거같고 이마에 땀도 송글송글뭔가 기운이 차오르는거 같기도하고집 근처에 이런게 있었음하는 생각도..ㅋㅋ그리고 마지막 마무리는 볶음밥!!국수를 다 먹을쯤 밥 볶아주세요 하면요렇게 가져와서 맛나게 볶아주신답니당!!이렇게 배터지게 밥까지 먹을수있으니 정말 괜찮죠?이 모든게 1인 7,000원이면 정말 저렴한편!!요즘 이 가격이면 한끼로 괜찮은 편이잖아요!ㅎㅎ바닥까지 삭삭 다 긁어먹고 진짜 배부르게한끼식사를 잘 마치고 나온거같아용오늘처럼 쌀쌀한 이런날에는이런 뜨끈하고 얼큰한음식도 좋을거같네요그럼 오늘저녁도 맛나게 드시구요좋은 밤 보내시길 바래용그럼 내일 또 만나용 이만 뿅!!맛집을좋아하고♥인생을즐기는♥호야쌤이에요~^^-서이추 환영해요♥♥-"
2017. 3. 7. 9:58,등촌최월선칼국수,"요즘 열심히 일하고 있어서.. 맛집도.. 여행도... 아무것도 못하고 있네요.그래도 먹고살자고하는일 간만에 애들 대리고""등촌칼국수""에 가봤습니다.사실... 왕돈가스 먹을려고했는데.. 주차할공간이 없어서 근처에 있는 등촌칼국수로 이동했는데왠걸.. 여기도 주차하곳이뭘라~~ 견인하라고해~~ 배고파~~ 역시 1층은 만석이고 2층으로 올라갔는데 헐~~15분 기다리고 자리 잡았네요3인분이요!!미나리가~~ 아주그냥~~채소들 먹고 다음대기 순서들입니다.. 칼국수 &gt; 볶음밥아! 물은 계단 올라가기전에 박스에 있어요 ^^ 전항상 이 물만빨리! 빨리!으흐~~ 미나리먹고다음은 칼국수를~~그리고 마늘 엄청들어간 김치~마지막으로 볶음밥으로서울 강서구 등촌1동-------------------------------------------------------------------------------------------홍보용,전도용,판촉용,OEM 물티슈 제조 www.se-yeon.comT.02-2644-8111F.02-2644-8110M.lsh2133@naver.comISO 9001 인증업체ISO 14001 인증업체"
2017. 3. 5. 16:13,중간고사 기간 일상 2 (코엑스 인터컨티넨탈 브래서리 / 등촌동 인생역전 포장마차 / 육화몽 / 등촌 최월선칼국수),"중간고사 기간 일상 2 (코엑스 인터컨티넨탈 브래서리 / 등촌동 인생역전 포장마차 / 육화몽 / 등촌 최월선칼국수)본문 기타 기능본문 폰트 크기 작게 보기본문 폰트 크기 크게 보기가​후우 겨울방학 때 밀린 블로그를 다 쓰려고 했는데결국 개강을 해버렸다 어제^.^그러나 내 블로그는 아직 작년 2학기 중간고사를 못 벗어나고 있지ㅋㅋㅋㅋㅋ이거 말고도 다음 포스팅까지 중간고사 기간..중간고사 기간에 뭐 이리 하라는 공부는 안 하고돌아댕겼는지ㅋㅋㅋㅋㅋㅋㅋㅋ10/21사전예약을 한 덕에 아이폰 7 국내 출시일에 받은 내 아이퐁다들 블랙을 많이 하던데 나는 로즈골드로~나는 핑크덕후이기 때문에 ㅎㅎㅎ아이폰6이랑 달라진 점은 뒷면에 뭐라하지 그 줄(?)이 사라졌다는 것뿐ㅋㅋㅋㅋㅋ그 이외에 이어폰도 불편해졌고 다 불편해진 것 뿐 ㅎㅎㅎ하지만 그전에 5s 16기가였던 용량의 노예는128기가로 소원성취했다다시는 용량의 노예가 되지 않으리....시험 기간이라 어김없이 공부하러 카페에 갔다가맛집블로거 레이니님(?) 블로그에서 대박 포장마차를 찾아서그길로 공부는 접고 바로 타쿠시 잡아서 고고이럴 때만 행동력 짱ㅋㅋㅋㅋㅋ꼭 블로그에 써야지 라고 결심했던 곳이라 메뉴판까지 찍었다블로거 레이니님(?)이 서울에서 제일 맛있는 꼼장어라고 극찬한 그 꼼장어구이!고추장 양념에 구워져서 나오는데 불맛이 나서 꼼장어 못 먹는 사람들도 맛있게 먹을 수 있을 듯깻잎채와 곁들여 먹으면 상큼하니 더 맛있다기대를 많이 했었는데 기대 이상으로 맛있었던 꼼장어! 술 안주로 매우 훌륭하다원래 쭈꾸미를 시키려고 했는데 이때 쭈꾸미 수급이 안 좋아서 쭈꾸미가 엄청 작다고 메뉴를 안 하신다고 했다 이후 갈 때마다 늘 쭈꾸미 메뉴가 안 돼서 아쉽다ㅠㅠ쭈꾸미 대신 주문한 제육볶음!여기서 주문한 모든 안주의 고추장 소스의 비법이 뭔지 참 궁금할 정도로 양념이 맛있다나는 포장마차에서 소주 한 잔 하는 게 예전부터 로망이어서 아쉬운대로 실내 포장마차라도 왔는데,너무 만족스러워서 그 이후에도 자주 갔다어김없이 시험공부하러 카페아이폰으로 찍은 첫 셀카역시나 새 폰이 좋구만삼겨비 먹고싶단 생각이 들자마자 한치의 망설임도 없이 책 덮고 온 육화몽육화몽은 체인인데 전에 양평점 갔다가 너무 맛있었는데 육화몽이 일미락의 분점 격이라고 한다 고기도 똑같고 반찬 구성도 똑같음!요기는 육화몽 우장산역점~~~역시나 일미락에서 본 두툼한 고깃덩이 비주얼묵은지 고추장아찌 곰취 등 익숙한 반찬 구성역시 전문가의 손길(?)이라 그런지 썰어진 고기의 자태가 예술된장찌개가 심심한 편이라 청양고추 썰어달라구 해서 넣어먹기!노릇노릇청양고추를 알차게 넣은 댕장찌개ㅋㅋㅋ흐익삼겨비는 바싹바싹 익혀야 쫄맛역시나 베스트 조합은 곰취+와사비목살도 추가넘나 맛있게 먹었다! 일미락이랑 쌍둥이격결국 공부는 다음날로 미루고 소맥을....^^10/25이날도 고기 먹은 날나는 고기를 그렇게 좋아하는 편이 아니라 원래 이렇게 자주 안 먹는데ㅋㅋㅋㅋㅋ여기는 그 전에도 한번 포스팅 했었던 곳!발산역 근처에 있는 마포 성산동 소문난 껍데기집여기는 목살이 정말 맛난 곳굵은 소금을 솔솔 뿌려서 굽기잘라줍니당역시나 졸맛!여기는 파절이에 무순이 들어가는데원래 무순을 싫어했던 나도 여기서 즐겨먹게 됐다 고기의 느끼함도 잡아주고 굿굿원래 여기는 껍데기가 진짜 맛있어서 고기 후 입가심 껍데기 해야하는데 이날은 껍데기는 패스~원래 술 안마시고 고기만 먹고 카페에서 공부하려고 했지만 술을 마셔버린 관계로...일단 공부 패스ㅋㅋㅋㅋㅋㅋ심지어 수업 두 번밖에 안들은 시험 전날이었는데 지금 생각해보니 진짜 간땡이가 부었었꾼여기는 카페 아프리카인데 아이스큐브라떼? 가 진짜 맛있다 오른쪽에 보이는 저 동그란 얼음이 커피 얼음인데 고소하고 달짝지근한 맛신기한 커피콩빵신나서양손에 커피콩빵 들고ㅋㅋㅋ결국 공부 1도 못하고 귀가아마 새벽에 공부했겠지...? 다음날 시험이었으니....?시험 보고 한숨 자고 저녁에 영화 노트북 보러!내가 정말 좋아하는 영화 베스트 5위 안에 드는 노트북줄거리를 다 알고 보니 그 장면이 나오기도 전에 눈물이 났다 영화 보는 내내 수도꼭지를 틀어놓은 기분ㅠㅠ진짜 미친듯이 울었던 장면에서 노아의 대사애기 새로운 토토로 꼬까옷 장만함10/28이날도 가족들이랑 저녁 먹는 날나가기 전에 울 애기랑우리 삼남매코엑스 인터컨티넨탈 뷔페 브래서리도착하니 엄마가 미리 매니저님께 연락드려서 와인 한병이랑 같이 세팅돼있었다첫 접시전날 가족끼리 술을 꽤 마셨지만 또 와인도 마시고그릴바에 직접 가서 주문하는 한우가 맛있었다현지 직송 대관령 한우라고함가장 먹을 만 했다뼛속까지 한국인인 나는 밥 한공기랑 명란젓 전복장 육회 장조림 굴젓을 가져옴내 사진도 한장 (사실 여러장 찍음)마지막 식사 접시디저트 타이무넘 욕심 냈다가 배불러서 많이 못 먹었다둘째랑처음으로 동생1과 찍은 전신사진ㅋㅋㅋㅋ할로윈 시즌이어서 할로윈 이벤트가 한창이었던 로비역시 나는 뷔페 체질이 아님10/29진짜진짜 맛있는 버섯칼국수집등촌칼국수 원조가 여기!!!!!!!다른 등촌칼국수는 내기준 아류앉자마자 주문할 필요도 없이 사람수에 맞춰서 뚝배기를 주신다면을 넣기전 버섯이랑 미나리부터 건져먹는다여기 버섯은 진짜 고기맛이 나서 넘 신기하다버섯을 그렇게 좋아하진 않지만 여기 버섯은 넘 맛있다요러케 덜어서 고기같은 버섯을 호로록다 먹을 때쯤 면 투척국물이 진짜 끝내준다빨간 버섯 칼국수 원탑다 먹으면 요러케 죽? 같은 볶음밥까지!버섯칼국수 1인분에 7천원인데 면, 밥이 포함되어 있어서 알아서 내주신다이따금씩 생각나는 곳항상 마무리는 어렵다......."
2017. 3. 4. 14:48,"[106회/2017.3.3] '맛있는 녀석들' 등촌 최월선칼국수 버섯매운탕,반포 도셰프 화덕피자",본문 기타 기능본문 폰트 크기 작게 보기본문 폰트 크기 크게 보기가
2017. 3. 4. 2:09,맛있는녀석들 버섯매운탕 최월선칼국수 등촌최월선버섯매운탕,
2017. 3. 15. 10:34,원조 등촌칼국수버섯매운탕 :) 매콤 개운 깔끔한 손맛!,"2017. 3. 15. 10:34	모두들 꿀모닝!!!오늘은 그유명하다는 #등촌칼국수 #버섯매운탕 포스팅이예요~ 시작전 알아두고 가기!그 수많은 등촌버섯매운탕칼국수의 원조는 여기랍니다. 절대 헤매지마시길바라용저 양천/강서 토박이인데ㅋㅋㅋ심지어 바로 요 등촌칼국수버섯매운탕 근처 사는데 여기를 얼마전에 처음 가봤어요..그 멀리서도 먹으러오는 맛집이라는데..칼국수를 그닥 안 좋아해서 몰랐었네요 ^^;;등촌최월선칼국수로 검색하면됩니다.네이버에 등록되어 있는 상호고요.정확하게 등촌칼국수버섯매운탕이라 써있어요.근데.. 여기 돌출간판 없어요ㅋㅋ 저 스티커가 다입니다. 거기다 골목에 숨어 잘안보이니 두눈크게 뜨고 잘보셔야 찾을수있어요.문의전화: 02-3661-2744영업시간: 11시30분~21:30분까지주차: 불가대중교통으로 위치를 얘기하자면 9호선 가양역과 증미역 중간 등촌동 어딘가쯤?등촌칼국수 버섯매운탕 내부.오후 4시가 넘은 시간인데 사람이 바글바글!오래되고 비위생적이게 보이는게 맛집 포스 팍팍 풍겨주고 있더라는ㅋㅋ 은근 기대한가득 안고 자리를 잡습니다~등촌칼국수 버섯매운탕집의 메뉴판은 따로 찍지 않았어요.메뉴가.. only one.앉아서 이모님 오시면 몇인분인지와 사이드 추가사리, 음료만 얘기하면 주문 완료입니다.여튼 원조 등촌칼국수 가격은 1인 7천원.컥! 말하지 않아도 알것 같은 세월 묻은 냄비등장.밑반찬도 참 간단하더군요.저 빛깔좋은 김치가 다입니다.뚜껑을 열어보았습니다.으잉?미나리와 버섯이 한가득.이래서 샤브란 말을 했구나싶더라능!점점 매운탕의 비주얼을 띄는 붉은색으로 바뀌고 있어요.뚜껑 덮으라는 이모님 말에 뉘예뉘예~언능 덮습니다. ㅎㄷㄷ 너무 무서웠어요ㅋㅋㅋㅋㅋ 야채인 미나리와 버섯이 다인지라 금방 익더라고요! 이젠 먹어야된다는 이모의 말에 뚜껑을 열었음돠.열자마자 매콤한향이 코를 팍! 먼저 이 원조 등촌칼국수 국물 맛을 보았습니다.어랏! 엄청 매콤할것만 같던 국물색깔과 다르게전혀 자극적이지 않은 매운맛이예요.엄청 깔끔 개운하더라고요~이시간에 왜 사람들이 많은지 그제서야 둘러보고 알았음다. 해장하는분들이 반이더군요ㅎㅎ 원조 버섯샤브매운탕의 맛은?쫄깃쫄깃 고소한 버섯과 상큼쌉쌀한 미나리에김치를 얹어 한입 하는 순간 정신없이 먹게되더군요ㅋㅋㅋ정신차려보니 버섯은 이미 사라졌어요~칼국수를 익히기 위해 냄비에 퐁당.원조 등촌칼국수.맛보기 전에 일단 사진을 콕 찍었음돠!면발이 오동통통한게 우동이 떠올랐어요.맛은? 음.. 면이 오동통해서인지 국물이 충분히 베이지않았음. 뭔가 심심함.그래서 국물과 면과 미나리 김치를 함께먹으니 좀 낫더라구요! 옛날 울 할머니가 해주는거같은 추억 돋는 자극적이지 않은 개운한맛이였어요. 그리고 마지막은 볶음밥!여기 원조 등촌버섯매운탕칼국수 음식은 전체적으로 간이 쎄지 않더라고요~ 약간 심심..그래서 김치가 필수!뗄래야 뗄수가없더라고요. 자꾸 손이가~원조 등촌칼국수버섯매운탕을 다녀온 지극히 주관적인 저의 소감은..맛은 사실 잘 모르겠어요ㅋㄷㅋㄷ 맛있는건지뭔지.. ^^; 근데 여긴 맛보다는 할머니가 해주던 손맛? 같은 느낌이 좋아 다시 찾을거같아요. 자극적이게 보이는데 전혀 자극스럽지않은 개운한 매콤함과 심심한듯하나 개운한 이맛이이집의 매력이 아닐까싶더라구요.여튼 기분좋게 맛있게 먹고 나왔습니다!등촌칼국수버섯매운탕 집은점심/저녁시간에는 100% 기다릴거같으니드실분들은 웨이팅시간 고려해서 들르시길바래요!! 오늘 폿팅 끝.인테리어/패션뷰티/여행 호기심 가득한 까칠탱이의 싱글라이프 블로그입니다! 좋은건 함께 나눠요~ 이웃환영~^^*: 원고리뷰안합니다."
2017. 3. 4. 14:55,등촌 최월선 칼국수-맛있는녀석들(17.03.03),"- 메  뉴 -버섯매운탕–7,000버섯 추가–6,000미나리추가 –1,000면사리 공기밥서울강서구 등촌동 654-95신주소:화곡로64길68"
